display_template,image_small,image_small,objectid,ark,object_location,,parentid,image_alt_text,contributing_institution,title,rights_management_valueURI,type,language,personal_creator,corporate_creator,personal_contributor,corporate_contributor,date,description,extent,genre,subject,personal_name_subject,corporate_name_subject,location,longitude,latitude,chronological_subject
,,,FDMM_ICICi000,,,,,,Fort Des Moines Museum,Iowa Colored Investment Company,http://rightsstatements.org/vocab/NoC-US/1.0/,Text;Still Image,eng;zxx,,,,,,Stock certificates for Iowa Colored Investment Company.,,,,,,Iowa,,,
,,,FDMM_ICICi001,,FDMM_ICICi001.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,Page 1,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi002,,FDMM_ICICi002.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,Page 2,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi003,,FDMM_ICICi003.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,Page 3,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi004,,FDMM_ICICi004.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi005,,FDMM_ICICi005.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi006,,FDMM_ICICi006.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi007,,FDMM_ICICi007.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi008,,FDMM_ICICi008.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
,,,FDMM_ICICi009,,FDMM_ICICi009.tif,,FDMM_ICICi000,Stock Certificate for Iowa Colored Investment Company,Fort Des Moines Museum,,,,,,,,,,,,,,,,Iowa,,,
